favorites,retweets,tweet_id
2306,183,828361771580813312
12371,3086,828046555563323392
10897,2315,828011680017821696
21193,5628,827933404142436356
16226,3241,827653905312006145
7791,1022,827600520311402496
16706,3302,827324948884643840
11129,2419,827199976799354881
22733,5398,826958653328592898
38405,11018,826848821049180160
0,4268,826615380357632002
5384,272,826598799820865537
10613,2534,826598365270007810
19413,4529,826476773533745153
13995,2795,826240494070030336
5150,1005,826204788643753985
16506,3390,826115272272650244
11034,2022,825876512159186944
13428,2688,825829644528148480
54929,18568,825535076884762624
19314,4940,825147591692263424
0,1377,825120256414846976
6703,1377,825026590719483904
0,5945,824796380199809024
15810,3800,824775126675836928
10638,1877,824663926340194305
12442,11231,824325613288833024
15893,4185,824297048279236611
5036,637,824025158776213504
11233,2931,823939628516474880
0,12129,823719002937630720
13296,2615,823699002998870016
13776,2863,823581115634085888
735,27,823333489516937216
16628,4348,823322678127919110
0,10660,823269594223824897
18263,3726,822975315408461824
139898,47462,822872901745569793
13983,2475,822859134160621569
0,6933,822647212903690241
15623,3218,822610361945911296
19208,6933,822489057087389700
30104,15863,822462944365645825
37025,10660,822244816520155136
0,5202,822163064745328640
12002,2538,821886076407029760
0,3623,821813639212650496
8904,1808,821765923262631936
8492,1923,821522889702862852
0,6064,821421320206483457
12454,4710,821407182352777218
267,10,821153421864615936
9223,2188,821149554670182400
10145,2308,821107785811234820
13412,2485,821044531881721856
0,7274,820837357901512704
33407,10746,820749716845686786
12910,3490,820690176645140481
0,613,820494788566847489
0,2805,820446719150292993
3531,613,820314633777061888
20983,6830,820078625395449857
0,1283,820013781606658049
5633,1283,819952236453363712
13626,5250,819924195358416896
14248,3397,819711362133872643
10136,2138,819588359383371776
7644,1313,819347104292290561
2419,438,819238181065359361
24454,7274,819227688460238848
0,39891,819015337530290176
0,20556,819015331746349057
47873,20556,819006400881917954
91850,39891,819004803107983360
0,22666,818646164899774465
23527,8098,818627210458333184
10460,2806,818614493328580609
0,6674,818588835076603904
11565,2692,818536468981415936
0,8830,818307523543449600
11688,2482,818259473185828864
13020,2822,818145370475810820
5133,859,817908911860748288
54973,29526,817827839487737858
11348,2907,817777686764523521
12528,3303,817536400337801217
0,3686,817502432452313088
36241,16249,817423860136083457
5955,1046,817415592588222464
0,9235,817181837579653120
9257,2193,817171292965273600
12917,2848,817120970343411712
9104,1800,817056546584727552
0,5130,816829038950027264
10608,2211,816816676327063552
10410,2400,816697700272001025
32455,8830,816450570814898180
9127,2126,816336735214911488
9477,2349,816091915477250048
0,1133,816062466425819140
0,5780,816014286006976512
5308,1133,815990720817401858
23819,9235,815966073409433600
